Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,Product Short
Computers and Laptops,ssd 256gb rx7 sata,Kota Tangerang,370000,5.0,6449,2425,1,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata ssd nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",Negative,Sadness,ssd 256gb rx7 sata
Computers and Laptops,ssd 256gb rx7 sata,Kota Tangerang,370000,5.0,6449,2425,1,"beli 2 ssd, 1 diterima dalam kondisi rusak",Negative,Sadness,ssd 256gb rx7 sata
Computers and Laptops,"usb hub vention 4 port usb 3.0 2.0 high speed power adapter otg - chl 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,usb hub vention 4 port us...
Computers and Laptops,"usb hub vention 4 port usb 3.0 2.0 high speed power adapter otg - chl 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,kurang bagus... colok hardisk external tdk terdeteksi..,Negative,Sadness,usb hub vention 4 port us...
Computers and Laptops,mini keyboard wireless i8 2.4g handheld keyboard for pc android tv box,Jakarta Utara,56000,4.8,18300,5431,1,"produk kurang baik, dan rusak",Negative,Sadness,mini keyboard wireless i8...
Computers and Laptops,"logitech c920 webcam pro full hd 1080p autofocus, noise-cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"untuk kualitas ternyata sama dengan merk china lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",Negative,Sadness,logitech c920 webcam pro ...
Computers and Laptops,"logitech c920 webcam pro full hd 1080p autofocus, noise-cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",Negative,Sadness,logitech c920 webcam pro ...
Computers and Laptops,rexus q20 mouse wireless office silent click - hitam,Jakarta Barat,50000,4.9,1790,848,1,mousenya kurang responsif. jd harus teken agak kuat,Negative,Sadness,rexus q20 mouse wireless ...
Computers and Laptops,rexus q20 mouse wireless office silent click - hitam,Jakarta Barat,50000,4.9,1790,848,1,baru pake 2 bulan sensornya udah jelek suka kemana2,Negative,Sadness,rexus q20 mouse wireless ...
Computers and Laptops,logitech m191 mouse wireless full size - mid grey,Jakarta Timur,299000,4.9,9798,5559,1,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",Negative,Sadness,logitech m191 mouse wirel...
Computers and Laptops,charger adaptor macbook pro 2008 2009 2010 2011 2012 magsafe 1 60w ori,Jakarta Pusat,230000,4.9,1408,721,1,"sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 x ongkos kirim....sangat mengecewakan",Negative,Anger,charger adaptor macbook p...
Computers and Laptops,adaptor charger laptop asus a455la a455ld a455lb a455 a455l original,Jakarta Utara,66000,4.8,2702,882,1,"kualitas chargeran jelek bangettt, baru tiga hari pakai sudah rusakk",Negative,Anger,adaptor charger laptop as...
Computers and Laptops,charger adaptor laptop acer aspire e14 e5-421 e5-431 e5-471 e5-475g,Jakarta Pusat,55000,4.9,2010,970,1,"pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",Negative,Anger,charger adaptor laptop ac...
Computers and Laptops,coolcold laptop vacuum vacum cooler cooling pad hisap panas notebook,Kota Depok,55000,4.8,13900,6671,1,"barang rusak , ga guna sama sekali ... parah",Negative,Anger,coolcold laptop vacuum va...
Computers and Laptops,logitech mk275 wireless keyboard mouse combo,Jakarta Timur,200000,4.9,3225,1528,3,"cepet rusak, kadang konek kadang engga",Negative,Anger,logitech mk275 wireless k...
Computers and Laptops,logitech g102 lightsync gaming mouse [fs] - hitam,Jakarta Pusat,379000,4.9,3185,1829,3,"barang gajelas lama sampai, kotak penyok�",Negative,Anger,logitech g102 lightsync g...
Computers and Laptops,sandisk ultra microsd 32gb a1 microsdhc uhs-i micro sd - no adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"setelah dicek tidak utuh 32gb. kok bisa ya???!!.. kemana sisa 3gb nya mas/mba???krn lagi butuh, yaudahlah cukup tau beli disini. pertama dan terakhir beli disini.",Negative,Anger,sandisk ultra microsd 32g...
Computers and Laptops,sandisk ultra microsd 32gb a1 microsdhc uhs-i micro sd - no adapter,Jakarta Pusat,75900,4.9,6754,3507,1,pesanan saya tidak sampai ke alamat!!! saya mau uang saya kembali!! saya belum menerima pesanan saya,Negative,Anger,sandisk ultra microsd 32g...
Computers and Laptops,thermal grizzly kryonaut thermal paste 1 gram cooler original - kemasan baru,Jakarta Selatan,85000,4.9,7834,4099,1,beli kemasan baru di kirim kemasan lama ! bintang 1 kon%tl,Negative,Anger,thermal grizzly kryonaut ...
Computers and Laptops,thermal grizzly kryonaut thermal paste 1 gram cooler original - kemasan baru,Jakarta Selatan,85000,4.9,7834,4099,1,"anjing ternyata palsu ini barang bangsat2 awas ketipu oi, yang asli ada segel distributor nya",Negative,Anger,thermal grizzly kryonaut ...
Computers and Laptops,thermal grizzly kryonaut thermal paste 1 gram cooler original - kemasan baru,Jakarta Selatan,85000,4.9,7834,4099,1,barang kw jangan beli disini,Negative,Anger,thermal grizzly kryonaut ...
Computers and Laptops,mouse wireless komic km-803 - 1200dpi nano usb free battery - hijau,Jakarta Utara,90000,4.8,4563,1811,1,buruk,Negative,Anger,mouse wireless komic km-8...
Computers and Laptops,sandisk cruzer blade 16gb cz50 flashdisk,Jakarta Pusat,82500,4.9,35900,6630,1,barang bosok! sekali pake rusak.. mau claim dijawab berbelit ama adminnya,Negative,Anger,sandisk cruzer blade 16gb...
Computers and Laptops,telkomsel orbit star 2,Kota Tangerang,629000,4.8,5998,3441,1,"chat tidak di balas, kuota yang di janjikan 50gb nya tidak masuk, hancur la parah parah",Negative,Anger,telkomsel orbit star 2
Computers and Laptops,xiaomi mi wifi wireless extender pro repeater amplifier r03 original,Jakarta Barat,129000,4.9,13300,5723,1,ga dikasih adaptor gepeng nya. ketipu saya,Negative,Anger,xiaomi mi wifi wireless e...
Computers and Laptops,"usb hub vention 4 port usb 3.0 2.0 high speed power adapter otg - chl 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,jir sehari pake udah rusak :( quality control dong yg bener ahelah,Negative,Anger,usb hub vention 4 port us...
Computers and Laptops,ssd 256gb rx7 sata,Kota Tangerang,370000,5.0,6449,2425,1,"ini gmn, ssd nya gak bisa di pake.... sy minta ganti...",Negative,Anger,ssd 256gb rx7 sata
Computers and Laptops,"logitech c920 webcam pro full hd 1080p autofocus, noise-cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"beli mahal2, malah sering tiba2 ngeblur kalau dipakai zoom. terus menghubungi cs nya, suruh klaim garansi aja, minta alamat ga dikasih2. hadeuhh, webcam 1 jutaan kualitas sampah.",Negative,Anger,logitech c920 webcam pro ...
Computers and Laptops,vention high speed usb 3.0 hub for windows mac linux - chk 0.15 meter,Jakarta Barat,119500,4.9,10200,5373,1,tidak sesuai gambar.... janggan percaya ama seller ini penipu..... kualitas jelek.....,Negative,Anger,vention high speed usb 3....
Computers and Laptops,laptop stand holder lipat adjustable anti slip portable untuk laptop,Kab. Tangerang,69900,4.3,5108,2852,1,"tolong pengiriman punya rasa tanggung jawab, ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah",Negative,Anger,laptop stand holder lipat...
Computers and Laptops,rexus gx2 gladius pro gaming gamepad - joystick / stick - hitam,Jakarta Barat,149000,4.9,2022,1193,1,l2 r2 trigger nya ampas macam ***,Negative,Anger,rexus gx2 gladius pro gam...
Computers and Laptops,"samsung microsd evo plus 32gb 64gb 128gb 256gb 512gb 1tb memory card - 64 gb, microsd only",Jakarta Pusat,121000,4.9,9298,5206,1,jelek,Negative,Anger,samsung microsd evo plus ...
Computers and Laptops,"spc monitor komputer led 19 inch hd, garansi resmi",Jakarta Barat,1509000,4.9,2487,943,1,"barang sampah ini tidak seharusnya dikirimkan ke alamat saya, akan tetapi di tong sampah. sangat mengecewakan, admin tidak merespon sama sekali chat saya. lihat barang yg dikirimkan, ada dead pixel, lalu layar monitornya kebalik. sangat mengecewakan. catatan buat teman-teman yg ingin beli, monitor ini tidak ada audio/speakernya, kualitas layar juga kurang baik. jika ada rejeki lebih, belilah dengan merek yg bagus. saya sangat menyesal belanja di sini. saya tidak merekomendasikan belanja disini.",Negative,Anger,spc monitor komputer led ...
Computers and Laptops,prolink prt7011l portable 4g lte modem wifi mifi hotspot - plus ptc21801,Jakarta Utara,1040000,4.9,444,251,1,"tidak jujur dan kelihatan kalau memaksakan barang terjual. barang dikirim tidak sesuai pesanan. dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak, dengan resiko barang yg di foto/ ditawarkan memang sebenarnya mungkin tidak ada.",Negative,Anger,prolink prt7011l portable...
Computers and Laptops,logitech g304 lightspeed mouse gaming wireless sensor 12k dpi - hitam,Jakarta Timur,699000,5.0,8059,4581,1,"beli tgl 9. pesanan selesai tgl 12 dan....mouse rusak tgl 13 gak bisa komplain dari toped lagi. admin ditanyain gmna cara klaim garansi sangat tidak membantu, chat hari ini bales besok.da dibales gk di jawab2 lagi",Negative,Anger,logitech g304 lightspeed ...
Computers and Laptops,digital aliance keyboard gaming meca warrior x rgb - hitam,Jakarta Pusat,499000,4.9,2200,1358,1,"gua beli dapetnya v2, di desc gada penjelasan mengenai versi, bagusan v1 apalagi rgbnya rgb v2 bener bener cuma red green blue sisa warnanya gaguna switch puller gadapet rgb redup pula ngga ada pemberitahuan mengenai versi keyboardnya bener2 kecewa kapok beli da ambil ae v*rt*x v7 tuh bagus drpd ini kecewa mau gua jual lagi pokoknya",Negative,Anger,digital aliance keyboard ...
